id,threat,lat,lon
53,3,-36.497585622433434,-72.90540271261713
54,3,-36.4979503180469,-72.89426267143112
55,2,-36.49831397657262,-72.88312243021907
56,2,-36.49867659795173,-72.87198198954697
57,2,-36.499038182125545,-72.8608413499808
58,2,-36.49939872903556,-72.84970051208663
59,2,-36.49975823862342,-72.83855947643062
60,3,-36.500116710830945,-72.82741824357896
61,2,-36.5004741456001,-72.8162768140979
62,2,-36.50083054287306,-72.80513518855379
63,3,-36.505847071157305,-72.92813720099988
64,2,-36.5062139604564,-72.91699627913773
65,3,-36.506579812448635,-72.9058551560261
66,3,-36.50694462707482,-72.89471383223105
67,3,-36.50730840427592,-72.88357230831872
68,3,-36.50767114399305,-72.8724305848553
69,2,-36.50803284616749,-72.86128866240706
70,2,-36.50839351074071,-72.85014654154034
71,2,-36.50875313765433,-72.83900422282153
72,3,-36.50911172685012,-72.82786170681709
73,3,-36.509469278270046,-72.81671899409352
74,3,-36.509825791856244,-72.80557608521742
75,2,-36.510181267550976,-72.79443298075545
76,3,-36.51484100365311,-72.9285924111676
77,3,-36.51520801266669,-72.91745020631373
78,2,-36.51557398403607,-72.9063078001185
79,3,-36.515938917702016,-72.89516519314827
80,2,-36.51630281360544,-72.88402238596944
81,2,-36.51666567168746,-72.87287937914844
82,2,-36.51702749188935,-72.86173617325183
83,2,-36.5173882741525,-72.85059276884617
84,2,-36.51774801841853,-72.8394491664981
85,2,-36.518106724629185,-72.82830536677436
86,3,-36.51846439272639,-72.81716137024169
87,2,-36.52235602401666,-72.9736197512287
88,2,-36.522727304102446,-72.96247707421432
89,3,-36.523097546445335,-72.951334193501
90,3,-36.52383491766284,-72.92904782324294
91,3,-36.524202046418104,-72.91790433483105
92,3,-36.52456813719174,-72.90676064498591
93,2,-36.52493318992449,-72.89561675427413
94,3,-36.52529720455723,-72.88447266326233
95,2,-36.52566018103106,-72.87332837251725
96,2,-36.5260221192872,-72.86218388260566
97,2,-36.52638301926704,-72.85103919409438
98,2,-36.52674288091214,-72.83989430755037
99,3,-36.527101704164245,-72.82874922354053
100,2,-36.53134943708625,-72.97408050087715
101,3,-36.531720838290674,-72.96293654010866
102,4,-36.53246052639868,-72.9406480077625
103,3,-36.53282881318252,-72.92950343731806
104,4,-36.53319606170668,-72.91835866478164
105,4,-36.53356227191172,-72.90721369071998
106,3,-36.53392744373832,-72.8960685157
107,2,-36.534291577127384,-72.88492314028852
108,2,-36.53465467201992,-72.87377756505256
109,2,-36.53501672835714,-72.86263179055916
110,2,-36.53537774608042,-72.85148581737539
111,2,-36.53573772513129,-72.84033964606843
112,3,-36.53609666545146,-72.82919327720548
113,2,-36.54034283155208,-72.97454145488406
114,2,-36.54071435390267,-72.96339620979495
115,2,-36.541084837835506,-72.95225076082086
116,0,-36.5414542832906,-72.94110510852865
117,2,-36.54182269020813,-72.92995925348517
118,3,-36.542190058528426,-72.91881319625742
119,3,-36.54255638819202,-72.90766693741244
120,3,-36.54292167913956,-72.89652047751733
121,3,-36.543285931311914,-72.88537381713921
122,3,-36.543649144650104,-72.87422695684536
123,2,-36.54401131909527,-72.86307989720304
124,3,-36.54437245458877,-72.8519326387796
125,3,-36.5447325510721,-72.84078518214248
126,3,-36.545091608486956,-72.82963752785915
127,3,-36.54544962677517,-72.81848967649714
128,2,-36.54933620741013,-72.97500261334272
129,2,-36.54970785093443,-72.96385608336622
130,3,-36.55007845570344,-72.95270934941163
131,2,-36.55044802165714,-72.94156241204603
132,3,-36.550816548735675,-72.93041527183655
133,3,-36.551184036879356,-72.91926792935047
134,3,-36.55155048602867,-72.90812038515504
135,3,-36.551915896124264,-72.89697263981763
136,3,-36.552280267106944,-72.88582469390568
137,3,-36.5526435989177,-72.87467654798662
138,3,-36.55300589149768,-72.86352820262803
139,3,-36.55336714478819,-72.85237965839751
140,2,-36.553727358730704,-72.84123091586274
141,3,-36.55408653326688,-72.83008197559145
142,3,-36.55444466833853,-72.81893283815147
143,3,-36.55480176388762,-72.80778350411065
144,3,-36.55515781985631,-72.79663397403688
145,3,-36.55795676089802,-72.98661158713888
146,3,-36.558329564656304,-72.97546397634653
147,2,-36.5587013293819,-72.96431616091562
148,3,-36.55907205501458,-72.95316814141341
149,3,-36.55944174149429,-72.94201991840725
150,3,-36.559810388761164,-72.93087149246458
151,3,-36.56017799675549,-72.91972286415286
152,2,-36.56054456541771,-72.90857403403965
153,2,-36.560910094688445,-72.89742500269254
154,2,-36.561274584508496,-72.88627577067922
155,2,-36.56163803481879,-72.87512633856743
156,3,-36.562000445560464,-72.86397670692496
157,3,-36.56236181667479,-72.85282687631968
158,3,-36.56272214810322,-72.84167684731955
159,3,-36.56308143978738,-72.83052662049252
160,3,-36.563439691669046,-72.81937619640667
161,3,-36.563796903690175,-72.80822557563012
162,3,-36.56415307579287,-72.79707475873107
163,3,-36.56694997796177,-72.98707444070949
164,3,-36.56732290328659,-72.97592554398894
165,3,-36.56769478924104,-72.96477644253632
166,3,-36.56806563576487,-72.95362713691915
167,3,-36.568435442798034,-72.94247762770503
168,3,-36.56880421028061,-72.93132791546168
169,3,-36.569171938152856,-72.92017800075676
170,3,-36.569538626355175,-72.90902788415815
171,2,-36.5699042748282,-72.89787756623366
172,2,-36.57026888351264,-72.88672704755126
173,2,-36.57063245234946,-72.87557632867892
174,2,-36.57099498127972,-72.8644254101847
175,3,-36.57135647024468,-72.85327429263674
176,3,-36.571716919185775,-72.84212297660322
177,2,-36.57207632804458,-72.8309714626524
178,3,-36.57243469676286,-72.81981975135258
179,3,-36.57279202528253,-72.80866784327215
180,3,-36.57314831354569,-72.79751573897954
181,3,-36.57556908981122,-72.99868747740247
182,3,-36.575943176377876,-72.98753749957964
183,3,-36.57631622329688,-72.97638731636343
184,2,-36.57668823050778,-72.96523692832156
185,2,-36.577059197950305,-72.95408633602183
186,3,-36.577429125564365,-72.94293554003208
187,3,-36.57779801329,-72.93178454092029
188,3,-36.57816586106745,-72.92063333925441
189,3,-36.57853266883711,-72.90948193560251
190,2,-36.57889843653953,-72.89833033053273
191,2,-36.57926316411546,-72.88717852461323
192,2,-36.579626851505765,-72.87602651841229
193,3,-36.579989498651535,-72.8648743124982
194,3,-36.58035110549397,-72.85372190743938
195,2,-36.580711671974484,-72.84256930380424
196,2,-36.58107119803463,-72.83141650216129
197,2,-36.58142968361612,-72.82026350307912
198,2,-36.581787128660885,-72.80911030712635
199,2,-36.58214353311096,-72.79795691487169
200,1,-36.58456214761592,-72.99915202863556
201,3,-36.584936356142265,-72.98800076384323
202,3,-36.58530952468313,-72.9768492935636
203,3,-36.585681653178106,-72.96569761836469
204,3,-36.58605274156685,-72.95454573881452
205,3,-36.58642278978926,-72.94339365548123
206,3,-36.58679179778534,-72.93224136893299
